user_id,gig_type,city,vehicle_class,monthly_avg_income,raw_income_cv,cohort_adjusted_volatility,income_trend_slope,income_floor_ratio,earning_gap_irregularity,upi_monthly_txns,utility_on_time_ratio,platform_tenure_months,avg_savings_ratio,avg_platform_rating,rating_trend,data_completeness,trust_score
GIG_0001,food_delivery,pune,bike,15305.47,0.2923,0.0292,0.00098,0.4064,0.6484,92.0,0.7148,38,0.3058,3.61,-0.101,1.0,585
GIG_0002,ride_hailing,mumbai,car,22457.17,0.266,0.014,-0.01377,0.1296,0.6938,96.0,0.7617,32,0.2623,3.29,-0.421,1.0,398
GIG_0003,food_delivery,pune,scooter,13148.2,0.2132,-0.0494,0.00287,0.2529,0.4718,56.0,0.5736,8,0.1328,2.63,0.114,1.0,368
GIG_0004,home_services,hyderabad,car,21098.96,0.278,0.0426,0.00472,0.2696,0.3796,96.0,0.9007,37,0.3223,3.81,0.254,1.0,755
GIG_0005,food_delivery,pune,bike,53726.54,0.228,-0.0351,-0.0036,0.3945,0.7352,97.0,,21,0.209,3.27,-0.33,0.6667,596
GIG_0006,ride_hailing,pune,scooter,38111.01,0.2537,0.0041,0.00795,0.2707,0.4826,94.0,0.8186,25,0.2671,3.37,0.137,1.0,469
GIG_0007,courier,hyderabad,scooter,24535.66,0.2656,0.03075,0.00129,0.1488,0.3353,105.0,0.8338,30,0.2625,3.2,0.174,1.0,543
GIG_0008,courier,delhi,car,38913.05,0.2286,0.00315,-0.00321,0.3578,0.2976,142.0,,31,0.3264,3.92,-0.084,0.6667,595
GIG_0009,food_delivery,delhi,bike,17120.72,0.15,-0.11155,0.00122,0.6622,0.6246,70.0,0.8275,18,0.2623,,,0.6667,709
GIG_0010,food_delivery,bengaluru,scooter,11793.49,0.3259,0.0631,-0.01632,0.3987,1.4477,49.0,0.6355,12,0.1719,3.63,-0.482,1.0,532
GIG_0011,food_delivery,hyderabad,bike,52087.47,0.2537,-0.0168,0.00183,0.3115,0.5099,118.0,0.9108,32,0.3292,4.74,-0.032,1.0,611
GIG_0012,courier,bengaluru,car,18320.81,0.3136,0.0676,0.00496,0.2207,0.7518,84.0,0.8787,38,0.3012,3.87,-0.005,1.0,596
GIG_0013,food_delivery,delhi,scooter,39694.04,0.4055,0.1379,0.01507,0.1306,0.6534,105.0,0.5775,32,0.2317,3.0,0.082,1.0,561
GIG_0014,courier,mumbai,bike,24599.46,0.3057,0.0872,-0.00601,0.2993,0.6929,64.0,0.5,13,0.1604,2.93,-0.268,1.0,322
GIG_0015,ride_hailing,delhi,car,13277.71,0.3066,0.0664,0.00947,0.3702,0.4914,84.0,0.6633,21,0.2692,3.09,0.562,1.0,611
GIG_0016,ride_hailing,hyderabad,car,44830.12,0.251,0.0108,0.00693,0.3307,0.6526,95.0,0.5976,17,0.2096,3.26,0.35,1.0,726
GIG_0017,food_delivery,pune,scooter,45787.95,0.2087,-0.0539,-0.00021,0.4846,0.7107,,0.8626,30,0.2147,3.77,-0.052,0.6667,546
GIG_0018,home_services,bengaluru,none,13770.2,0.202,-0.02735,0.0047,0.3939,0.2691,106.0,0.8945,41,0.3557,,,0.6667,809
GIG_0019,home_services,bengaluru,none,35686.77,0.2861,0.05675,0.00303,0.3106,0.8175,100.0,0.9099,18,0.2436,3.59,0.061,1.0,448
GIG_0020,food_delivery,delhi,bike,29722.62,0.275,0.01345,-0.01047,0.4365,0.6693,,0.7952,30,0.263,3.59,-0.296,0.6667,324
GIG_0021,home_services,hyderabad,car,18268.18,0.2219,-0.0135,0.00191,0.3734,0.4528,87.0,0.7756,35,0.2793,4.09,0.145,1.0,613
GIG_0022,courier,hyderabad,scooter,19819.66,0.2806,0.04575,0.00022,0.1514,0.4882,59.0,0.8374,13,0.1611,3.34,0.139,1.0,479
GIG_0023,home_services,pune,none,49146.25,0.2157,-0.0203,-0.0007,0.3581,0.4947,140.0,0.8895,33,0.2773,3.66,-0.041,1.0,588
GIG_0024,courier,bengaluru,scooter,31610.73,0.2067,-0.0248,-0.00377,0.2016,0.1962,94.0,0.6328,32,0.2401,2.62,-0.287,1.0,489
GIG_0025,courier,pune,bike,16497.53,0.2915,0.0589,-0.01425,0.29,0.2929,84.0,0.8068,29,0.2427,3.57,-0.487,1.0,452
GIG_0026,ride_hailing,pune,car,42257.65,0.3359,0.0861,-0.01924,0.1734,0.2785,118.0,,22,0.2475,2.97,-0.321,0.6667,408
GIG_0027,ride_hailing,pune,car,23984.6,0.2083,-0.0415,0.00627,0.3495,0.5127,,0.8762,38,0.2985,,,0.3333,564
